Date,Symbol,Expiry,Option Type,Strike Price,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Premium Turnover,Open Interest,Change in OI,Underlying
2018-05-02,NIFTY,2018-05-31,CE,11150.0,15.4,15.8,11.55,12.8,13.0,12.8,1395,1167993000.0,1424000.0,60225,21975,10718.05
2018-05-02,NIFTY,2018-05-31,PE,11150.0,0.0,0.0,0.0,665.3,0.0,403.2,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,CE,11200.0,11.95,11.95,8.25,9.1,9.05,9.1,36629,30794694000.0,26333999.999999996,1218450,256875,10718.05
2018-05-02,NIFTY,2018-05-31,PE,11200.0,424.0,493.0,424.0,462.9,456.55,462.9,340,297053000.0,11453000.0,241875,5925,10718.05
2018-05-02,NIFTY,2018-05-31,CE,11250.0,7.4,7.8,6.4,7.0,7.15,7.0,598,504881000.00000006,318000.0,33600,24750,10718.05
2018-05-02,NIFTY,2018-05-31,PE,11250.0,0.0,0.0,0.0,742.6,0.0,490.65,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,CE,11300.0,4.8,5.45,4.15,4.4,4.55,4.4,14947,12672880000.0,5298000.0,691500,134700,10718.05
2018-05-02,NIFTY,2018-05-31,PE,11300.0,529.45,584.2,521.0,563.1,563.1,563.1,54,47976000.0,2211000.0,187500,1500,10718.05
2018-05-02,NIFTY,2018-05-31,CE,11350.0,4.95,4.95,4.0,4.0,4.0,4.0,3,2555000.0,1000.0,75,75,10718.05
2018-05-02,NIFTY,2018-05-31,PE,11350.0,0.0,0.0,0.0,823.1,0.0,582.6,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,CE,11400.0,2.35,2.9,2.35,2.55,2.5,2.55,6583,5629768000.0,1303000.0,191775,3525,10718.05
2018-05-02,NIFTY,2018-05-31,PE,11400.0,625.0,669.0,625.0,653.35,650.7,653.35,95,85723000.0,4498000.0,51900,-4650,10718.05
2018-05-02,NIFTY,2018-05-31,CE,11450.0,9.9,9.9,2.5,2.65,3.0,2.65,10,8590000.0,3000.0,525,525,10718.05
2018-05-02,NIFTY,2018-05-31,PE,11450.0,0.0,0.0,0.0,906.5,0.0,677.6,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,CE,11500.0,2.3,2.4,1.85,2.05,2.05,2.05,6186,5336394000.0,969000.0,1031925,85350,10718.05
2018-05-02,NIFTY,2018-05-31,PE,11500.0,719.6,779.1,710.0,751.5,747.0,751.5,475,435863000.0,26176000.0,661425,7275,10718.05
2018-05-02,NIFTY,2018-05-31,CE,11550.0,0.0,0.0,0.0,19.75,19.75,2.6,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,PE,11550.0,0.0,0.0,0.0,992.4,0.0,774.6,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,CE,11600.0,1.7,1.7,1.4,1.5,1.6,1.5,194,168802000.0,22000.0,39750,6375,10718.05
2018-05-02,NIFTY,2018-05-31,PE,11600.0,878.0,878.0,878.0,878.0,878.0,878.0,1,936000.0,66000.0,2475,0,10718.05
2018-05-02,NIFTY,2018-05-31,CE,11650.0,0.0,0.0,0.0,37.2,0.0,1.25,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,PE,11650.0,0.0,0.0,0.0,1080.55,0.0,872.75,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,CE,11700.0,0.85,1.25,0.85,1.15,1.1,1.15,45,39491000.0,4000.0,6525,1875,10718.05
2018-05-02,NIFTY,2018-05-31,PE,11700.0,959.2,959.2,953.25,953.25,953.25,953.25,2,1898000.0,143000.0,1275,0,10718.05
2018-05-02,NIFTY,2018-05-31,CE,11750.0,0.2,0.6,0.2,0.6,0.6,0.6,8,7050000.0,0.0,75,-600,10718.05
2018-05-02,NIFTY,2018-05-31,PE,11750.0,0.0,0.0,0.0,1170.5,0.0,971.55,0,0.0,0.0,0,0,10718.05
