Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-April-2008,212.50,214.95,208.10,209.05,211.620887496703565295,310942,3132,65801822.00,108615,34.93,6.85,-3.45
22-April-2008,208.00,214.80,207.00,213.25,211.562799155929935322,524601,4295,110986056.00,157488,30.02,7.80,5.25
23-April-2008,214.40,216.50,211.30,211.80,212.666405144847425793,757107,2732,161011224.00,479302,63.31,5.20,-2.60
24-April-2008,212.25,213.00,208.80,209.35,210.027520867752977636,740856,2501,155600149.00,510460,68.90,4.20,-2.90
25-April-2008,210.50,214.00,209.10,212.75,210.709298119583748589,790676,2610,166602785.00,631964,79.93,4.90,2.25
28-April-2008,213.95,216.00,210.30,211.60,213.396736861504669417,1063516,4087,226950844.00,684256,64.34,5.70,-2.35
29-April-2008,212.25,214.95,210.70,212.15,212.816534403873364884,889769,2894,189357555.00,616823,69.32,4.25,-0.10
30-April-2008,214.40,220.60,212.50,219.80,218.114799674362532242,1604238,8915,349908050.00,861083,53.68,8.10,5.40
2-May-2008,224.00,224.95,218.30,220.75,221.536450103896193699,578462,5620,128150418.00,219063,37.87,6.65,-3.25
5-May-2008,218.55,223.40,218.25,220.70,221.004873173096309515,466226,3184,103038218.00,206236,44.24,5.15,2.15
6-May-2008,220.00,226.70,218.55,224.90,225.054669380317643263,985634,6293,221821534.00,559428,56.76,8.15,4.90
7-May-2008,225.00,229.75,223.00,226.95,226.833448712629119259,915820,6196,207738609.00,389030,42.48,6.75,1.95
8-May-2008,227.00,227.00,213.50,215.05,217.325645791603878275,1233641,6660,268101827.00,747664,60.61,13.50,-11.95
9-May-2008,215.50,220.00,212.00,218.30,217.228164532475765519,736657,5246,160022648.00,295682,40.14,8.00,2.80
12-May-2008,216.90,224.80,215.25,223.80,221.011115615478167623,841159,6268,185905489.00,376393,44.75,9.55,6.90
13-May-2008,224.75,229.00,220.35,225.45,224.756176629861130232,544755,5826,122437051.00,163848,30.08,8.65,0.70
14-May-2008,225.00,228.50,222.10,226.65,226.630244043935215374,903239,4569,204701275.00,495968,54.91,6.40,1.65
15-May-2008,228.00,229.00,224.00,226.55,226.590606249679481700,935984,4528,212085182.00,546059,58.34,5.00,-1.45
16-May-2008,227.00,227.90,222.80,226.95,225.362315960763358368,372407,3199,83926504.00,139093,37.35,5.10,-0.05
20-May-2008,227.85,227.85,223.50,225.90,225.896986982282230957,561696,2363,126885434.00,348783,62.09,4.35,-1.95
21-May-2008,225.10,232.40,223.40,228.45,229.190054135819370159,737774,6325,169090463.00,225919,30.62,9.00,3.35
22-May-2008,228.00,228.75,219.90,223.05,224.075085938218459280,1489733,5405,333812050.00,843386,56.61,8.85,-4.95
23-May-2008,223.10,225.70,211.80,213.60,218.595863673173618280,880443,8726,192461198.00,143102,16.25,13.90,-9.50
26-May-2008,209.00,211.00,201.65,205.70,205.975668251967376738,2011816,7428,414385145.00,1197285,59.51,9.35,-3.30
27-May-2008,206.00,215.45,206.00,209.10,211.624183061181176803,1554890,8161,329052326.00,820223,52.75,9.45,3.10
28-May-2008,211.00,223.40,210.00,222.05,217.234356374499131109,1322951,10887,287390409.00,444681,33.61,13.40,11.05
29-May-2008,223.00,224.00,213.40,217.50,218.391212922911654962,525021,5717,114659973.00,126210,24.04,10.60,-5.50
30-May-2008,219.10,220.45,215.05,217.65,218.773474504951778268,578681,3608,126600053.00,306918,53.04,5.40,-1.45
2-June-2008,217.00,223.60,216.10,219.85,220.494147710626354110,552946,5846,121921357.00,177755,32.15,7.50,2.85
3-June-2008,218.00,221.00,214.10,219.45,216.880405414672280663,437478,4442,94880406.00,99189,22.67,6.90,1.45
4-June-2008,219.45,220.90,214.25,216.10,217.457538668999380894,398963,3276,86757512.00,143301,35.92,6.65,-3.35
5-June-2008,213.00,223.45,213.00,222.35,219.296160485431814615,382340,3939,83845694.00,155072,40.56,10.45,9.35
6-June-2008,223.50,224.50,211.40,213.15,216.628171397567949292,464464,4821,100615987.00,172427,37.12,13.10,-10.35
9-June-2008,208.00,213.50,205.00,207.05,208.357120716252649183,554888,6830,115614866.00,77394,13.95,8.50,-0.95
10-June-2008,207.00,208.00,198.30,201.55,200.773097366634687881,1596892,7615,320612953.00,958341,60.01,9.70,-5.45
11-June-2008,202.90,202.90,195.00,199.35,198.657761389829216823,3306766,13412,656914731.00,1987074,60.09,7.90,-3.55
12-June-2008,197.00,202.50,195.40,199.95,199.683967293807048250,1190111,6169,237646086.00,676277,56.82,7.10,2.95
13-June-2008,201.00,201.00,194.65,197.45,197.494790400471789112,637573,5759,125917346.00,222749,34.94,6.35,-3.55
16-June-2008,207.05,207.05,197.50,201.45,200.093669463402757170,920001,6414,184086376.00,496251,53.94,9.55,-5.60
17-June-2008,201.45,204.80,200.55,203.00,203.091115673879942785,260076,3828,52819125.00,107771,41.44,4.25,1.55
18-June-2008,206.05,207.35,202.55,204.70,204.162607722871581221,648075,6463,132312682.00,200988,31.01,4.80,-1.35
19-June-2008,202.50,205.90,201.30,204.25,203.951868133036373977,376258,4929,76738522.00,71956,19.12,4.60,1.75
20-June-2008,207.20,207.20,194.00,198.70,198.843105945989743331,1431654,6325,284674528.00,827857,57.83,13.20,-8.50
23-June-2008,205.00,205.00,192.10,195.40,197.837679965252494283,939348,8338,185838429.00,309045,32.90,12.90,-9.60
24-June-2008,196.00,196.00,187.00,191.05,190.071852832811045406,991471,8415,188450730.00,345678,34.87,9.00,-4.95
25-June-2008,190.00,190.00,182.95,186.35,186.152748011635364516,812351,6815,151221371.00,436939,53.79,7.05,-3.65
26-June-2008,188.00,193.50,186.00,191.35,189.680527340621918016,711798,7443,135014220.00,177193,24.89,7.50,3.35
27-June-2008,187.95,188.60,183.00,183.95,184.617944771989047453,1027341,5587,189665584.00,601999,58.60,5.60,-4.00
30-June-2008,182.00,189.50,181.90,187.00,184.982667622652991530,617861,5931,114293576.00,277313,44.88,7.60,5.00
1-July-2008,186.70,189.85,179.05,183.45,184.982615107986342606,494970,5444,91560845.00,176240,35.61,10.80,-3.25
2-July-2008,183.00,185.90,176.10,179.60,179.843507369366919944,1037199,6830,186533506.00,629559,60.70,9.80,-3.40
3-July-2008,178.50,181.00,168.00,169.35,174.185009447146784951,679041,7380,118278763.00,264381,38.93,13.00,-9.15
4-July-2008,171.90,177.95,167.55,170.80,173.972234149932244410,1255247,7466,218378125.00,706724,56.30,10.40,-1.10
7-July-2008,172.50,179.95,172.50,177.60,177.508008255712576171,652639,5164,115848649.00,404735,62.02,7.45,5.10
8-July-2008,177.60,177.60,168.50,171.85,171.795290788375721075,551260,6656,94703872.00,209195,37.95,9.10,-5.75
9-July-2008,175.40,185.45,174.80,183.50,182.227946651908209443,643247,7999,117217580.00,199139,30.96,10.65,8.10
10-July-2008,181.00,183.40,178.25,179.20,180.159345247336553107,238319,3548,42935395.00,44405,18.63,5.15,-1.80
11-July-2008,180.00,181.70,172.30,174.45,176.579031043159126240,311985,4896,55090009.00,85080,27.27,9.40,-5.55
14-July-2008,175.50,178.70,167.60,168.70,172.081370696030898183,547605,6116,94232619.00,230727,42.13,11.10,-6.80
15-July-2008,167.30,167.50,159.10,160.30,161.635263138131090291,852176,8968,137741692.00,453079,53.17,8.40,-7.00
16-July-2008,159.00,168.50,157.50,162.30,164.033140005091535063,1154858,14364,189434984.00,253696,21.97,11.00,3.30
17-July-2008,167.00,170.00,162.80,167.45,166.151802056174330261,499374,6237,82971890.00,137136,27.46,7.20,0.45
18-July-2008,169.00,178.50,165.30,176.40,172.992851274602021741,839870,8331,145291506.00,284939,33.93,13.20,7.40
21-July-2008,178.00,185.20,175.00,179.15,180.681940343670058009,1622661,9570,293185538.00,1045739,64.45,10.20,1.15
22-July-2008,179.55,190.25,177.25,189.90,186.616091418540274120,1481100,11124,276397093.00,654222,44.17,13.00,10.35
23-July-2008,192.60,197.00,187.50,191.70,191.224301295183000731,2988458,10850,571465793.00,2112996,70.71,9.50,-0.90
24-July-2008,193.00,194.00,188.00,189.85,190.045113247925321248,516345,4961,98128844.00,147380,28.54,6.00,-3.15
25-July-2008,189.25,191.80,185.50,188.75,188.379157046920341571,360803,3813,67967765.00,71098,19.71,6.30,-0.50
28-July-2008,190.50,193.45,187.50,190.50,191.944675265913514367,556948,3821,106903203.00,273898,49.18,5.95,0.00
29-July-2008,185.20,191.00,184.00,189.90,186.418995676490420848,1008440,3789,187992372.00,711494,70.55,7.00,4.70
30-July-2008,188.00,191.50,185.90,187.80,187.488154629373856648,901407,4223,169003135.00,600567,66.63,5.60,-0.20
31-July-2008,187.00,191.50,176.55,187.80,180.912344750067348512,4413609,12039,798476353.00,3075954,69.69,14.95,0.80
1-August-2008,185.50,188.50,182.80,187.70,185.743852920435003154,404135,5097,75065592.00,60494,14.97,5.70,2.20
4-August-2008,188.00,189.85,185.25,187.90,187.904112542743961940,361747,3525,67973749.00,132725,36.69,4.60,-0.10
5-August-2008,188.00,191.50,185.00,190.15,189.939397073620425072,889495,4196,168950144.00,523796,58.89,6.50,2.15
6-August-2008,192.00,194.60,188.65,189.85,191.706535161689825809,557951,5377,106962853.00,213169,38.21,5.95,-2.15
7-August-2008,189.50,194.90,187.15,191.70,192.429175576674201987,900205,6992,173225706.00,297404,33.04,7.75,2.20
8-August-2008,192.00,192.80,189.20,190.70,190.816759863918977046,460314,2807,87835626.00,154290,33.52,3.60,-1.30
11-August-2008,192.50,194.95,190.20,193.20,192.532150277475467930,333543,3112,64217751.00,126242,37.85,4.75,0.70
12-August-2008,193.70,198.30,193.30,195.50,195.613654952065037806,1097946,7347,214773230.00,475740,43.33,5.00,1.80
13-August-2008,193.00,197.80,191.35,194.80,195.436606733246285774,226696,3055,44304697.00,42833,18.89,6.45,1.80
14-August-2008,192.40,195.60,190.00,191.10,191.088307724038362380,242425,2415,46324583.00,78501,32.38,5.60,-1.30
18-August-2008,191.10,194.10,186.70,187.60,189.607070034487973112,1639992,3828,310954078.00,1259422,76.79,7.40,-3.50
19-August-2008,188.00,188.00,182.25,183.75,184.997837994092123131,332099,3145,61437597.00,119649,36.03,5.75,-4.25
20-August-2008,182.05,186.50,182.05,183.55,183.834719549207849845,266553,2731,49001696.00,74634,28.00,4.45,1.50
21-August-2008,182.00,184.85,180.55,182.65,182.207380200823558447,307932,3210,56107483.00,141937,46.09,4.30,0.65
22-August-2008,180.70,184.00,179.85,182.10,181.801932527974632449,240307,2860,43688277.00,96435,40.13,4.15,1.40
25-August-2008,184.20,185.35,182.60,183.45,183.982924345789634456,196420,2009,36137926.00,76334,38.86,2.75,-0.75
26-August-2008,185.50,185.70,182.00,184.95,183.629360098585451033,840692,2162,154375734.00,692519,82.37,3.70,-0.55
27-August-2008,184.95,185.55,183.05,183.50,184.010119476194761947,177776,1231,32712583.00,88211,49.62,2.50,-1.45
28-August-2008,183.00,185.00,181.50,183.60,183.468499519416016361,236171,2006,43329939.00,88122,37.31,3.50,0.60
29-August-2008,185.00,189.75,184.10,188.60,186.672198121641047855,470943,3849,87911965.00,220829,46.89,5.65,3.60
1-September-2008,188.25,192.50,184.55,191.65,188.240320947715080353,343732,3786,64704222.00,90999,26.47,7.95,3.40
2-September-2008,191.00,197.15,191.00,194.35,194.679243469991616937,905397,4785,176262003.00,540330,59.68,6.15,3.35
4-September-2008,194.50,195.00,188.50,189.25,191.307470914913454132,271359,2802,51913004.00,96606,35.60,6.50,-5.25
5-September-2008,188.00,191.00,185.40,189.60,187.890178296641293420,243695,3081,45787897.00,72791,29.87,5.60,1.60
8-September-2008,191.95,199.00,191.95,196.50,196.464511340669543785,1352742,4377,265765796.00,939229,69.43,7.05,4.55
9-September-2008,196.00,196.00,193.80,194.50,194.910854893138357705,355600,2627,69310300.00,199784,56.18,2.20,-1.50
10-September-2008,193.90,196.00,193.00,195.05,194.842724430203111271,309584,2037,60320190.00,175551,56.71,3.00,1.15
11-September-2008,193.50,194.15,189.25,191.65,191.623589426288567288,746682,3377,143081885.00,401966,53.83,4.90,-1.85
12-September-2008,186.00,195.10,182.10,191.30,193.053128662184666625,648520,3441,125198815.00,350954,54.12,13.00,5.30
15-September-2008,187.00,190.90,182.30,190.15,187.786304460769672890,796858,4123,149639019.00,540847,67.87,8.60,3.15
16-September-2008,185.00,195.45,181.10,194.25,190.511723130617447388,365602,3223,69651467.00,143239,39.18,14.35,9.25
17-September-2008,195.00,195.50,182.10,184.40,186.177716859393072894,651874,4935,121364413.00,362423,55.60,13.40,-10.60
18-September-2008,180.00,187.40,178.10,185.50,183.013403066732347423,954110,5581,174614918.00,465572,48.80,9.30,5.50
19-September-2008,191.00,192.30,187.00,191.05,190.424597709001798244,1815104,4833,345640449.00,1324246,72.96,5.30,0.05
22-September-2008,194.90,200.05,190.90,195.10,195.934988711172721981,2735448,8720,535969973.00,2092794,76.51,9.15,0.20
